category,cnt
축우용 영양제,1
식료품,1
전자기기>이어폰,1
정원/원예용품>원예부자재,1
콜라겐젤리,1
"쿠션, 이불커버, 샤워타올, 메이플시럽(상온보관), 조화",1
패션잡솨,1
뷰티>바디케어>입욕제,1
의류>남성 여성,1
식품>냉동간편조리식품>즉석국/탕,1
다이어트건강기능식품,1
생활용품>펫하우스,1
디자인/문구,1
냉동식품>간편조리식>떡볶이,1
키트,1
헨드다리미,1
식품>가공식품>면류/라면류>당면,1
"의류, 인테리어",1
검퓨터 및 주변기기 전자제품,1
"골프용품>장갑,타월",1
전기차충전기,1
화장품/미용>클렌징>천연비누,1
전산장비,1
첵첵,1
패션잡화>헤어악세사리>가발,1
유아동>장난감,1
앨범(CD),1
컴터 옷,1
"포장지,플라스틱용기",1
쿠팡 홈  >스포츠/레저  >헬스/요가/댄스  >헬스소품/보호대  >기타 헬스소품,1
육포,1
전기장판,1
생활건강 > 주방용품,1
디지털/가전>계절가전>선풍기>휴대용선풍기,1
의류>스포츠>레깅스,1
"신발,의류",1
폰케이스,1
수입식품>냉장>견과류,1
시가,1
주방용품->바용품,1
가구인테리어>인테리어소품>시계,1
"의류, 잡화류",1
패션잡화>패션소품>키홀더,1
주스,1
전자용품,1
화장품 의류,1
서바이벌 건,1
캠핑의자,1
생활/건강>욕실용품>변기솔,1
옷/화장품,1
일반식품>석류콜라겐젤리,1
화장품/미용>마스크팩/토너/에센스/크림/앰플,1
식품>과자/베이커리>스낵,1
구강청결제,1
명품->스카프,1
주방룔품,1
식품>가공식품>기타오일류,1
스포츠/레저>골프>필드용품>기타,1
패션잡화선글라스/안경테안경테,1
키링 이피밴투,1
"커튼,침구류 등",1
식품>건식품,1
생활/건강>생활용품>섬유유연제>시트형섬유유연제,1
패션잡화/주얼리>반지>목걸이,1
레저>캠핑>캠핑용품,1
생활건강>반려동물>반려동물용품,1
참치,1
문구류 / 스티커,1
가수>매트리스,1
"정보통신업, 도소매업, 도시락류 제조업, 과자류 제조업, 빵류 제조업",1
생활용품/생활잡화/친환경에코백,1
의류>가방,1
비누꽃,1
생활/건강>문구/사무용품>스티커,1
"화장품, 애견용품 등등",1
카메라/캠코더용품>메모리카드>MicroSD메모리,1
잡화(포토카드/명함),1
스포츠/레저>캠핑>취사용품>바비큐그릴/화로대,1
화장품/미용>헤어제품,1
음향가전/마이크/앰프,1
식품>건강보조식품,1
패션잡화>여성화->신발,1
채소,1
취미/애견>애견간식,1
의류부자재,1
스포츠/레저>캠핑>캠핑가구>캠핑의자,1
"식품>향신료,시즈닝",1
생활가전>주방용품,1
패션의류 및 잡화,1
"리빙, 패션, 잡화",1
의류>스트릿,1
서적 / 문구용품,1
무알콜음료,1
화장품/미용> 화장도구,1
식품>과자>한과,1
휴대폰케이스/휴대폰거치대,1
컵커피,1
가죽 여성 핸드백,1
스포츠/레저>등산>기타등산장비,1
출산/육아완구/매트물놀이용품물총,1
ssw,1
필수항목,1
식품>조미료>소금,1
"화장품>스킨케어>클렌징폼, 토너패드",1
식품>냉동식품>간편조리식품,1
쿨러,1
기능성화장품,1
초,1
전기자전거,1
식품>식용유/오일>참기름,1
식품>축산물>축산가공식품>기타육가공,1
식품>음료>커피>더치커피,1
생활/건강>수납/정리용품>정리함>소품정리함,1
문구>스티커/마테>스티커,1
식품>건강식품>효소식품,1
생활용품>건강관리>코건강,1
생활/건강>제습/방향/탈취>새집증후군/진드기,1
한약류,1
화장품 > 스킨케어 / 색조,1
"옷>여름, 가을옷>티셔츠, 후드 티셔츠/옷>가을 또는 여름용 바지>체크팬츠",1
뜨개,1
"화장품, 액세서리, 의류, 리빙용품",1
#@/÷>@♡_~♡_~×☆>:☆>×:♡<2:♡×<:@☆%97@:07@^07×^☆^@07:2♡_:@♡_:×♡:×♡<:×☆<:×♡<:×☆<:♡<×☆<:×♡<:♡<×:♡<×:♡×<:♡×,1
"티셔츠, 모자, 지류",1
캐리어,1
식품>수산물>젓갈/장류,1
스포츠/레저>자전거>자전거용품>헬멧,1
기타줄,1
식품/체중조절쉐이크,1
안경집,1
"가방, 옷",1
etst,1
냉동 케이크,1
새부리형 KF94 마스크,1
가글,1
개인으로 신청 ㄱㄱ,1
패션의류잡화 >> 여성 미디원피스,1
상온>오일>올리브오일,1
여성의류/패션잡화,1
"화장품,미용>헤어제품",1
